Name,Year,Rating,Date
Hot Fuzz,2007,5,2021-04-29
Three Colours: Blue,1993,4,2021-04-30
The King of Comedy,1982,4.5,2021-05-01
Scream 2,1997,3.5,2021-05-01
Pink Floyd: The Wall,1982,4.5,2021-05-01
Into the Woods,1991,4,2021-05-02
Some Like It Hot,1959,4.5,2021-05-02
True Stories,1986,5,2021-05-02
Stop Making Sense,1984,5,2021-05-03
Neon Genesis Evangelion,1995,4,2021-05-04
Decalogue I,1989,4,2021-05-05
I'm Not There,2007,3.5,2021-05-05
Flashdance,1983,2,2021-05-05
Mortal Kombat,2021,2,2021-05-05
Tenacious D in The Pick of Destiny,2006,3.5,2021-05-06
American Factory,2019,3.5,2021-05-06
Beastie Boys: Video Anthology,2000,4.5,2021-05-07
A Little Night Music,1977,2,2021-05-09
Little Italy,2018,1,2021-05-09
The Matrix Reloaded,2003,3.5,2021-05-10
The Matrix Revolutions,2003,3,2021-05-10
The Animatrix,2003,2.5,2021-05-11
Isle of Dogs,2018,3.5,2021-05-13
Newsies,1992,4.5,2021-05-13
Snowpiercer,2013,3.5,2021-05-14
Hot Rod,2007,4.5,2021-05-15
Being John Malkovich,1999,4.5,2021-05-16
Cecil B. Demented,2000,3.5,2021-05-17
Begin Again,2013,4,2021-05-19
I'm a Cyborg But That's OK,2006,3.5,2021-05-19
Blade Runner 2049,2017,3.5,2021-05-20
The Truman Show,1998,3.5,2021-05-20
Burn!,1969,3.5,2021-05-20
Jellyfish Eyes,2013,2.5,2021-05-21
Purple Rain,1984,1.5,2021-05-22
Polyester,1981,4.5,2021-05-25
Blue Collar,1978,4.5,2021-05-27
Paris Is Burning,1990,3.5,2021-05-28
David Lynch: The Art Life,2016,2.5,2021-05-28
Bo Burnham: Inside,2021,5,2021-05-30
Happy Death Day,2017,3,2021-05-30
Bo Burnham: Inside,2021,5,2021-05-31
The Mitchells vs. The Machines,2021,4,2021-06-01
Thunder Force,2021,1.5,2021-06-01
Cruella,2021,3.5,2021-06-02
Funeral Parade of Roses,1969,4,2021-06-03
Saving Face,2004,3,2021-06-03
The Killing,1956,3,2021-06-05
Minari,2020,4,2021-06-05
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,4,2021-06-06
Citizenfour,2014,4.5,2021-06-07
Eighth Grade,2018,5,2021-06-08
Bo Burnham: Inside,2021,5,2021-06-08
Neon Genesis Evangelion: The End of Evangelion,1997,4,2021-06-09
Divine Trash,1998,3.5,2021-06-10
Muppet Treasure Island,1996,4,2021-06-10
This Filthy World,2006,4,2021-06-11
Valley of the Dolls,1967,3,2021-06-11
Beyond the Valley of the Dolls,1970,3.5,2021-06-11
Scott Pilgrim vs. the World,2010,5,2021-06-12
The Big Sick,2017,5,2021-06-13
Hedwig and the Angry Inch,2001,4.5,2021-06-15
La Cage aux Folles,1978,3,2021-06-16
Before Night Falls,2000,2.5,2021-06-17
Framing Britney Spears,2021,3,2021-06-19
Showgirls,1995,4.5,2021-06-20
Friends: The Reunion,2021,3,2021-06-21
Shiva Baby,2020,4,2021-06-24
The Straight Story,1999,5,2021-06-27
Great Old Amusement Parks,1999,3.5,2021-06-28
First Reformed,2017,5,2021-07-02
Luca,2021,3.5,2021-07-03
Zola,2020,3.5,2021-07-03
The Black Cauldron,1985,2,2021-07-03
The Comfort of Strangers,1990,2,2021-07-04
My Neighbor Totoro,1988,4,2021-07-04
The Falcon and the Winter Soldier,2021,3,2021-07-05
Shaun of the Dead,2004,4,2021-07-06
Raya and the Last Dragon,2021,2,2021-07-07
Wolfgang,2021,3,2021-07-07
Mishima: A Life in Four Chapters,1985,5,2021-07-08
Kennywood Memories,1988,5,2021-07-09
In the Heights,2021,2.5,2021-07-10
Lemonade Mouth,2011,4.5,2021-07-11
Patty Hearst,1988,4,2021-07-12
Knives Out,2019,4,2021-07-13
Whiplash,2014,5,2021-07-14
Space Jam: A New Legacy,2021,1,2021-07-16
Ingrid Goes West,2017,4.5,2021-07-17
An Evening with Beverly Luff Linn,2018,3,2021-07-17
Desperate Living,1977,3,2021-07-18
A Dirty Shame,2004,4,2021-07-19
Pig,2021,4.5,2021-07-21
Roadrunner: A Film About Anthony Bourdain,2021,3.5,2021-07-22
Xanadu,1980,3,2021-07-23
Jackass: The Movie,2002,3,2021-07-23
Punch-Drunk Love,2002,4,2021-07-23
Jackass Number Two,2006,3.5,2021-07-24
Tampopo,1985,4.5,2021-07-24
Jackass 2.5,2007,2.5,2021-07-25
Alien,1979,4.5,2021-07-25
Multiple Maniacs,1970,4,2021-07-25
Jackass 3D,2010,3,2021-07-26
